"Date","Price","Open","High","Low","Vol.","Change %"
"17/03/2021","1.9068","1.9330","1.9427","1.8821","48.00K","-1.33%"
"16/03/2021","1.9325","1.9439","1.9467","1.9120","27.46K","-0.77%"
"15/03/2021","1.9474","1.9658","1.9794","1.9220","32.54K","-0.84%"
"12/03/2021","1.9638","1.9585","1.9750","1.9481","51.33K","0.30%"
"11/03/2021","1.9580","1.9191","1.9622","1.9082","44.02K","2.13%"
"10/03/2021","1.9172","1.8975","1.9278","1.8802","51.89K","0.59%"
"09/03/2021","1.9059","1.9072","1.9352","1.8948","41.96K","-0.17%"
"08/03/2021","1.9091","1.9503","1.9830","1.8989","57.44K","-1.69%"
"05/03/2021","1.9419","1.8955","1.9501","1.8837","66.95K","2.63%"
"04/03/2021","1.8922","1.8259","1.9107","1.7991","48.56K","3.34%"
"03/03/2021","1.8311","1.8003","1.8435","1.7951","39.85K","1.64%"
"02/03/2021","1.8015","1.8006","1.8326","1.7811","29.01K","-0.55%"
"01/03/2021","1.8114","1.8436","1.8695","1.7940","46.16K","-1.72%"
"26/02/2021","1.8431","1.8966","1.9044","1.8388","72.25K","-2.89%"
"25/02/2021","1.8979","1.9040","1.9130","1.8804","63.44K","-0.11%"
"24/02/2021","1.9000","1.8575","1.9044","1.8472","63.83K","2.10%"
"23/02/2021","1.8609","1.8625","1.8855","1.8272","85.25K","0.55%"
"22/02/2021","1.8508","1.8015","1.8681","1.8000","103.32K","2.23%"
"19/02/2021","1.8104","1.8161","1.8311","1.7905","101.22K","-0.68%"
"18/02/2021","1.8228","1.8331","1.8504","1.8025","93.60K","-0.05%"
"17/02/2021","1.8238","1.8052","1.8374","1.7882","84.32K","1.23%"
"16/02/2021","1.8017","1.7700","1.8175","1.7700","134.42K","-1.20%"
"15/02/2021","1.8236","1.7928","1.8280","1.7915","","1.69%"
"14/02/2021","1.7933","1.7743","1.8010","1.7743","","1.61%"
"12/02/2021","1.7648","1.7330","1.7709","1.7181","54.46K","1.52%"
"11/02/2021","1.7384","1.7457","1.7516","1.7299","49.51K","-0.80%"
"10/02/2021","1.7525","1.7473","1.7593","1.7399","42.44K","0.25%"
"09/02/2021","1.7482","1.7406","1.7569","1.7249","36.59K","0.55%"
"08/02/2021","1.7386","1.7085","1.7434","1.7085","40.09K","1.95%"
"05/02/2021","1.7053","1.7036","1.7258","1.7017","48.57K","0.70%"
"04/02/2021","1.6934","1.6878","1.7021","1.6668","33.41K","0.62%"
"03/02/2021","1.6830","1.6742","1.6967","1.6685","38.51K","1.03%"
"02/02/2021","1.6658","1.6379","1.6795","1.6362","52.74K","1.67%"
"01/02/2021","1.6384","1.5900","1.6416","1.5807","49.92K","2.50%"
"29/01/2021","1.5984","1.5948","1.6350","1.5911","64.87K","-0.16%"
"28/01/2021","1.6010","1.6050","1.6313","1.5921","61.49K","-0.41%"
"27/01/2021","1.6076","1.6005","1.6207","1.5826","63.30K","0.58%"
"26/01/2021","1.5984","1.5976","1.6084","1.5868","64.10K","0.18%"
"25/01/2021","1.5955","1.5734","1.6011","1.5671","62.29K","1.10%"
"22/01/2021","1.5782","1.6028","1.6033","1.5571","60.89K","-1.51%"
"21/01/2021","1.6024","1.5927","1.6043","1.5858","52.22K","-0.01%"
"20/01/2021","1.6025","1.5990","1.6162","1.5892","55.50K","0.14%"
"19/01/2021","1.6002","1.5858","1.6105","1.5793","61.24K","0.65%"
"18/01/2021","1.5899","1.5886","1.5943","1.5778","","0.11%"
"17/01/2021","1.5881","1.5829","1.5914","1.5829","","-0.38%"
"15/01/2021","1.5942","1.6215","1.6246","1.5743","51.43K","-1.62%"
"14/01/2021","1.6205","1.5992","1.6228","1.5840","47.00K","1.27%"
"13/01/2021","1.6002","1.6031","1.6174","1.5843","41.63K","0.11%"
"12/01/2021","1.5985","1.5714","1.6040","1.5711","42.54K","1.49%"
"11/01/2021","1.5750","1.5864","1.5884","1.5540","52.25K","-0.34%"
"08/01/2021","1.5804","1.5416","1.5870","1.5393","43.37K","2.67%"
"07/01/2021","1.5393","1.5267","1.5507","1.5254","46.03K","0.59%"
"06/01/2021","1.5302","1.5206","1.5437","1.5041","42.78K","0.61%"
"05/01/2021","1.5209","1.4549","1.5262","1.4533","42.96K","3.89%"
"04/01/2021","1.4640","1.4839","1.5348","1.4540","35.08K","-1.35%"
"31/12/2020","1.4840","1.4891","1.4914","1.4689","50.88K","-0.52%"
"30/12/2020","1.4918","1.4900","1.5041","1.4767","50.28K","0.28%"
"29/12/2020","1.4877","1.4819","1.5007","1.4809","47.29K","0.53%"
"28/12/2020","1.4798","1.4908","1.5093","1.4740","52.39K","-0.70%"
"24/12/2020","1.4903","1.4981","1.5090","1.4782","37.45K","-0.51%"
"23/12/2020","1.4979","1.4591","1.5069","1.4442","65.07K","2.39%"
"22/12/2020","1.4630","1.4780","1.4787","1.4469","47.44K","-1.03%"
"21/12/2020","1.4782","1.5109","1.5121","1.4308","69.02K","-2.30%"
"18/12/2020","1.5130","1.4950","1.5188","1.4886","63.53K","1.09%"
